,transaction_id,item,quantity,price_per_unit,total_spent,payment_method,location,transaction_date,date_diff,red_flag
2987,TXN_1000555,Tea,1.0,1.5,1.5,Credit Card,In-store,2023-10-19,,0
115,TXN_1001832,Salad,2.0,5.0,10.0,Cash,Takeaway,2023-10-19,,0
418,TXN_1002457,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-09-29,,0
3417,TXN_1003246,Juice,2.0,3.0,6.0,Unknown,Unknown,2023-02-15,-226.0,1
4366,TXN_1004184,Smoothie,1.0,4.0,4.0,Credit Card,In-store,2023-05-18,92.0,0
3995,TXN_1004563,Tea,5.0,1.5,7.5,Credit Card,In-store,2023-10-28,163.0,0
1886,TXN_1005331,Coffee,1.0,2.0,2.0,Digital Wallet,Takeaway,2023-11-04,7.0,0
8071,TXN_1005377,Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-06-03,-154.0,1
9311,TXN_1005472,Coffee,4.0,2.0,8.0,Credit Card,Unknown,2023-04-21,-43.0,1
4744,TXN_1006942,Salad,1.0,5.0,5.0,Credit Card,In-store,2023-11-30,223.0,0
1498,TXN_1007347,Salad,4.0,5.0,20.0,Digital Wallet,In-store,2023-08-28,-94.0,1
2561,TXN_1009421,Cookie,4.0,1.0,4.0,Cash,Takeaway,2023-02-21,-188.0,1
6667,TXN_1010950,Cookie,1.0,1.0,1.0,Digital Wallet,Takeaway,2023-01-07,-45.0,1
3021,TXN_1011236,Cake,1.0,3.0,3.0,Cash,In-store,2023-02-08,32.0,0
8883,TXN_1012349,Juice,4.0,3.0,12.0,Cash,In-store,2023-07-08,150.0,0
5007,TXN_1015883,Cookie,4.0,1.0,4.0,Cash,In-store,2023-10-16,100.0,0
3646,TXN_1016246,Coffee,1.0,2.0,2.0,Unknown,Unknown,2023-01-19,-270.0,1
4951,TXN_1018470,Juice,3.0,3.0,9.0,Unknown,Unknown,2023-01-14,-5.0,1
754,TXN_1018880,Smoothie,5.0,4.0,20.0,Digital Wallet,Unknown,2023-07-15,182.0,0
7825,TXN_1020478,Coffee,1.0,2.0,2.0,Digital Wallet,Takeaway,2023-03-09,-128.0,1
8159,TXN_1020983,Juice,1.0,3.0,3.0,Digital Wallet,Unknown,2023-03-23,14.0,0
7596,TXN_1021087,Sandwich,1.0,4.0,4.0,Unknown,Unknown,2023-11-01,223.0,0
6535,TXN_1022126,Tea,3.0,1.5,4.5,Unknown,Unknown,2023-11-01,,0
6323,TXN_1022220,Juice,3.0,3.0,9.0,Unknown,Takeaway,2023-08-03,,0
1188,TXN_1022523,Salad,4.0,5.0,20.0,Cash,In-store,2023-11-25,114.0,0
2672,TXN_1025152,Cookie,4.0,1.0,4.0,Unknown,Unknown,2023-08-19,-98.0,1
6122,TXN_1026050,Cake,1.0,3.0,3.0,Unknown,Unknown,2023-04-23,-118.0,1
4748,TXN_1026799,Cake,5.0,3.0,15.0,Credit Card,Unknown,2023-04-23,,0
847,TXN_1026827,Cookie,4.0,1.0,4.0,Digital Wallet,In-store,2023-01-02,,0
4135,TXN_1030539,Cake,3.0,3.0,9.0,Unknown,Takeaway,2023-11-06,308.0,0
5621,TXN_1031802,Cookie,4.0,1.0,4.0,Unknown,Unknown,2023-06-27,-132.0,1
5636,TXN_1034067,Smoothie,3.0,4.0,12.0,Digital Wallet,Unknown,2023-01-07,-171.0,1
5294,TXN_1034651,Sandwich,3.0,4.0,12.0,Unknown,Takeaway,2023-07-06,180.0,0
3755,TXN_1034956,Sandwich,4.0,4.0,16.0,Cash,In-store,2023-07-06,,0
2635,TXN_1035504,Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-03-30,,0
8407,TXN_1037464,Sandwich,5.0,4.0,20.0,Digital Wallet,Unknown,2023-02-14,-44.0,1
8579,TXN_1037486,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-02-14,,0
9104,TXN_1038397,Cookie,3.0,1.0,3.0,Unknown,In-store,2023-05-20,,0
7375,TXN_1039367,Sandwich,3.0,4.0,12.0,Cash,Unknown,2023-03-12,-69.0,1
354,TXN_1040764,Coffee,3.0,2.0,6.0,Cash,Takeaway,2023-07-27,137.0,0
8887,TXN_1041891,Cookie,5.0,1.0,5.0,Unknown,Unknown,2023-08-09,13.0,0
2325,TXN_1045022,Sandwich,4.0,4.0,16.0,Credit Card,Takeaway,2023-10-13,65.0,0
4447,TXN_1046384,Smoothie,1.0,4.0,4.0,Cash,Unknown,2023-06-09,-126.0,1
770,TXN_1046394,Smoothie,1.0,4.0,4.0,Cash,In-store,2023-04-29,-41.0,1
8279,TXN_1046659,Smoothie,3.0,4.0,12.0,Unknown,Takeaway,2023-12-14,229.0,0
4268,TXN_1047204,Cookie,3.0,1.0,3.0,Digital Wallet,Unknown,2023-04-13,-245.0,1
9304,TXN_1047450,Coffee,2.0,2.0,4.0,Cash,In-store,2023-11-19,220.0,0
4977,TXN_1048284,Salad,2.0,5.0,10.0,Cash,In-store,2023-08-19,-92.0,1
7543,TXN_1048616,Tea,1.0,1.5,1.5,Cash,Unknown,2023-10-10,52.0,0
8417,TXN_1049697,Tea,3.0,1.5,4.5,Cash,In-store,2023-10-08,-2.0,1
3423,TXN_1050083,Cake,5.0,3.0,15.0,Credit Card,Takeaway,2023-06-28,-102.0,1
4960,TXN_1050323,Juice,1.0,3.0,3.0,Unknown,In-store,2023-03-10,-110.0,1
8895,TXN_1054912,Sandwich,3.0,4.0,12.0,Cash,Unknown,2023-08-02,145.0,0
1198,TXN_1054915,Cookie,5.0,1.0,5.0,Unknown,In-store,2023-01-22,-192.0,1
5299,TXN_1056256,Cake,4.0,3.0,12.0,Unknown,In-store,2023-12-04,316.0,0
2990,TXN_1056277,Cookie,5.0,1.0,5.0,Unknown,Unknown,2023-02-06,-301.0,1
1529,TXN_1057209,Cookie,5.0,1.0,5.0,Credit Card,In-store,2023-09-17,223.0,0
9367,TXN_1057760,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-02-20,-209.0,1
6006,TXN_1058466,Cookie,3.0,1.0,3.0,Digital Wallet,Takeaway,2023-12-07,290.0,0
3958,TXN_1058927,Sandwich,4.0,4.0,16.0,Cash,Unknown,2023-07-08,-152.0,1
4882,TXN_1058957,Juice,2.0,3.0,6.0,Cash,In-store,2023-03-21,-109.0,1
8908,TXN_1059293,Sandwich,5.0,4.0,20.0,Unknown,Unknown,2023-12-04,258.0,0
1602,TXN_1062822,Juice,2.0,3.0,6.0,Credit Card,Unknown,2023-06-28,-159.0,1
4246,TXN_1063342,Sandwich,5.0,4.0,20.0,Unknown,In-store,2023-01-13,-166.0,1
800,TXN_1063366,Juice,3.0,3.0,9.0,Unknown,Unknown,2023-03-20,66.0,0
